ID;sku;product_name;price;currency_code
33333333-3333-3333-3333-333333333001;P100;Laptop 15" Pro;1200.00;USD
33333333-3333-3333-3333-333333333002;P101;Office Chair;250.00;EUR
33333333-3333-3333-3333-333333333003;P102;Standing Desk;600.00;GBP
33333333-3333-3333-3333-333333333004;P103;Monitor 24" LED;180.00;JPY
33333333-3333-3333-3333-333333333005;P104;Keyboard Mechanical;80.00;AUD
33333333-3333-3333-3333-333333333006;P105;Mouse Wireless;40.00;CAD
33333333-3333-3333-3333-333333333007;P106;Webcam HD;70.00;EUR
33333333-3333-3333-3333-333333333008;P107;Headset Noise Cancelling;120.00;ZAR
33333333-3333-3333-3333-333333333009;P108;Printer Laser;350.00;INR
33333333-3333-3333-3333-333333333010;P109;Scanner;200.00;CHF
33333333-3333-3333-3333-333333333011;P110;Laptop 13" Basic;900.00;USD
33333333-3333-3333-3333-333333333012;P111;Desk Lamp LED;50.00;EUR
33333333-3333-3333-3333-333333333013;P112;Filing Cabinet;300.00;GBP
33333333-3333-3333-3333-333333333014;P113;Whiteboard;150.00;JPY
33333333-3333-3333-3333-333333333015;P114;Projector;550.00;AUD
33333333-3333-3333-3333-333333333016;P115;Conference Table;800.00;CAD
33333333-3333-3333-3333-333333333017;P116;Office Sofa;450.00;USD
33333333-3333-3333-3333-333333333018;P117;Notebook 100 pages;5.00;EUR
33333333-3333-3333-3333-333333333019;P118;Pen Pack;12.00;GBP
33333333-3333-3333-3333-333333333020;P119;Stapler;15.00;JPY
33333333-3333-3333-3333-333333333021;P120;Paper Ream A4;6.00;AUD
33333333-3333-3333-3333-333333333022;P121;Desk Organizer;25.00;CAD
33333333-3333-3333-3333-333333333023;P122;Cushion Chair;30.00;ZAR
33333333-3333-3333-3333-333333333024;P123;Monitor Arm;60.00;INR
33333333-3333-3333-3333-333333333025;P124;Laptop Stand;45.00;CHF
33333333-3333-3333-3333-333333333026;P125;External HDD 1TB;90.00;USD
33333333-3333-3333-3333-333333333027;P126;USB Hub;20.00;EUR
33333333-3333-3333-3333-333333333028;P127;Router WiFi 6;70.00;GBP
33333333-3333-3333-3333-333333333029;P128;Switch Network;120.00;JPY
33333333-3333-3333-3333-333333333030;P129;HDMI Cable;10.00;AUD
33333333-3333-3333-3333-333333333031;P130;Ethernet Cable;8.00;CAD
33333333-3333-3333-3333-333333333032;P131;Power Strip;15.00;USD
33333333-3333-3333-3333-333333333033;P132;Surge Protector;25.00;EUR
33333333-3333-3333-3333-333333333034;P133;Smartphone Stand;20.00;GBP
33333333-3333-3333-3333-333333333035;P134;Tablet 10";400.00;JPY
33333333-3333-3333-3333-333333333036;P135;Docking Station;150.00;AUD
33333333-3333-3333-3333-333333333037;P136;Chair Mat;60.00;CAD
33333333-3333-3333-3333-333333333038;P137;Desk Pad;35.00;USD
33333333-3333-3333-3333-333333333039;P138;Whiteboard Marker Pack;12.00;EUR
33333333-3333-3333-3333-333333333040;P139;Office Clock;40.00;GBP
